Chi: 100.000000	tcc [code units]: 8.904371e-02	Mcl [Solar mass]: 1.445491e+00	mu: 0.672442	 [code time] = 3.085678e+13 s

t/tcc		t/tdrag		M(rho>rhocl/3)/Mcl	deltav/vwind
0.000000e+00	0.000000e+00	9.209002e-01		1.000000e+00
1.109648e-02	1.109648e-03	8.604073e-01		9.977558e-01
2.230392e-02	2.230392e-03	8.159097e-01		8.672387e-01
3.351056e-02	3.351056e-03	7.824388e-01		8.518367e-01
4.472169e-02	4.472169e-03	7.571413e-01		8.337031e-01
5.595092e-02	5.595092e-03	7.366915e-01		7.766542e-01
6.719658e-02	6.719658e-03	7.188943e-01		7.840523e-01
7.846531e-02	7.846531e-03	7.028176e-01		7.832656e-01
8.976949e-02	8.976949e-03	6.884262e-01		7.849689e-01
1.009172e-01	1.009172e-02	6.757601e-01		7.801819e-01
1.121300e-01	1.121300e-02	6.642314e-01		7.634902e-01
1.234312e-01	1.234312e-02	6.535630e-01		7.447813e-01
1.346321e-01	1.346321e-02	6.437750e-01		7.257726e-01
1.459635e-01	1.459635e-02	6.345388e-01		7.069708e-01
1.570116e-01	1.570116e-02	6.261234e-01		6.897965e-01
1.684432e-01	1.684432e-02	6.461660e-01		6.731335e-01
1.796160e-01	1.796160e-02	6.392674e-01		6.574317e-01
1.907575e-01	1.907575e-02	6.890803e-01		6.421528e-01
2.020481e-01	2.020481e-02	6.846067e-01		6.268933e-01
2.132266e-01	2.132266e-02	6.805128e-01		6.119779e-01
2.245223e-01	2.245223e-02	6.765829e-01		5.971225e-01
2.356959e-01	2.356959e-02	6.728744e-01		5.830189e-01
2.469817e-01	2.469817e-02	6.973385e-01		5.691538e-01
2.581375e-01	2.581375e-02	6.944437e-01		5.555069e-01
2.694052e-01	2.694052e-02	6.916560e-01		5.416343e-01
2.805393e-01	2.805393e-02	6.889779e-01		5.285448e-01
2.917871e-01	2.917871e-02	7.147737e-01		5.166839e-01
3.031522e-01	3.031522e-02	7.135472e-01		4.174947e-01
3.143823e-01	3.143823e-02	7.124145e-01		4.095494e-01
3.254737e-01	3.254737e-02	7.113046e-01		4.016854e-01
3.366848e-01	3.366848e-02	7.101726e-01		3.938582e-01
3.480204e-01	3.480204e-02	7.090167e-01		3.860867e-01
3.592174e-01	3.592174e-02	7.078809e-01		3.785304e-01
3.705429e-01	3.705429e-02	7.067474e-01		3.710536e-01
3.817272e-01	3.817272e-02	7.055557e-01		3.638631e-01
3.930434e-01	3.930434e-02	7.042219e-01		3.567586e-01
4.042156e-01	4.042156e-02	7.029108e-01		3.498211e-01
4.155237e-01	4.155237e-02	7.016438e-01		3.427819e-01
4.266856e-01	4.266856e-02	7.295761e-01		3.357458e-01
4.376964e-01	4.376964e-02	7.318531e-01		3.739675e-01
4.490213e-01	4.490213e-02	7.070378e-01		3.660165e-01
4.604368e-01	4.604368e-02	7.106511e-01		3.862954e-01
4.714170e-01	4.714170e-02	7.142978e-01		3.751144e-01
4.826725e-01	4.826725e-02	7.181648e-01		3.635272e-01
4.941387e-01	4.941387e-02	7.222033e-01		3.514102e-01
5.053095e-01	5.053095e-02	7.262221e-01		3.393945e-01
5.164381e-01	5.164381e-02	6.759493e-01		3.221439e-01
5.277340e-01	5.277340e-02	6.827326e-01		3.032410e-01
5.389666e-01	5.389666e-02	6.612690e-01		2.847125e-01
5.501418e-01	5.501418e-02	6.671708e-01		2.736553e-01
5.614637e-01	5.614637e-02	6.724026e-01		3.967816e-01
5.725719e-01	5.725719e-02	7.052466e-01		3.855491e-01
5.838615e-01	5.838615e-02	7.120575e-01		3.745269e-01
5.951693e-01	5.951693e-02	7.185684e-01		3.638383e-01
6.063530e-01	6.063530e-02	7.246286e-01		3.350964e-01
6.176117e-01	6.176117e-02	7.303033e-01		3.252119e-01
6.288074e-01	6.288074e-02	7.915883e-01		3.170218e-01
6.401289e-01	6.401289e-02	8.004009e-01		3.100499e-01
6.512864e-01	6.512864e-02	8.083992e-01		3.039240e-01
6.624655e-01	6.624655e-02	8.157223e-01		2.940497e-01
6.736862e-01	6.736862e-02	8.222957e-01		2.808620e-01
6.849672e-01	6.849672e-02	8.278426e-01		2.591264e-01
6.961757e-01	6.961757e-02	8.321496e-01		2.669371e-01
7.074840e-01	7.074840e-02	8.355152e-01		2.396990e-01
7.186138e-01	7.186138e-02	7.550275e-01		2.160629e-01
7.298880e-01	7.298880e-02	7.624690e-01		1.984004e-01
7.411830e-01	7.411830e-02	7.964125e-01		2.380629e-01
7.523833e-01	7.523833e-02	8.060101e-01		2.296602e-01
7.635394e-01	7.635394e-02	8.146674e-01		2.208653e-01
7.748407e-01	7.748407e-02	8.225134e-01		2.124174e-01
7.860127e-01	7.860127e-02	8.291793e-01		2.045621e-01
7.972204e-01	7.972204e-02	8.347477e-01		1.970373e-01
8.084927e-01	8.084927e-02	8.959256e-01		1.927264e-01
8.197229e-01	8.197229e-02	9.017786e-01		1.940868e-01
8.309499e-01	8.309499e-02	9.061338e-01		2.008663e-01
8.422082e-01	8.422082e-02	9.089199e-01		2.494913e-01
8.534057e-01	8.534057e-02	9.098276e-01		2.324062e-01
8.646044e-01	8.646044e-02	9.410874e-01		2.127983e-01
8.758654e-01	8.758654e-02	9.442948e-01		1.973456e-01
8.871027e-01	8.871027e-02	9.464254e-01		1.898360e-01
8.983532e-01	8.983532e-02	8.929096e-01		3.017644e-01
9.095896e-01	9.095896e-02	8.695904e-01		3.066393e-01
9.207988e-01	9.207988e-02	8.757023e-01		3.118777e-01
9.320275e-01	9.320275e-02	8.807942e-01		2.681945e-01
9.433272e-01	9.433272e-02	8.846516e-01		2.662260e-01
9.544852e-01	9.544852e-02	8.867228e-01		2.642414e-01
9.656944e-01	9.656944e-02	9.200521e-01		2.624286e-01
9.770214e-01	9.770214e-02	9.253578e-01		2.613254e-01
9.882684e-01	9.882684e-02	9.293749e-01		2.603784e-01
9.994866e-01	9.994866e-02	9.321037e-01		2.604945e-01
1.010719e+00	1.010719e-01	9.336089e-01		2.623383e-01
1.021920e+00	1.021920e-01	9.339600e-01		2.520253e-01
1.033197e+00	1.033197e-01	9.332427e-01		2.374161e-01
